epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,444.572,0.69944,0.4092,0.95927,0.99884,1,0.995,0.75838,0.97865,0.40484,1.19264,0.0011684,0.0011684,0.0011684
44,455.071,0.70893,0.42203,0.97247,0.99894,1,0.995,0.75251,0.95628,0.40743,1.21009,0.0011486,0.0011486,0.0011486
45,465.029,0.69035,0.41481,0.96313,0.99953,0.98182,0.99465,0.75545,0.95459,0.41202,1.20218,0.0011288,0.0011288,0.0011288
46,475.325,0.6705,0.39954,0.95544,0.99769,1,0.995,0.75237,0.95169,0.39368,1.17867,0.001109,0.001109,0.001109
47,485.496,0.67081,0.39588,0.96871,0.99904,0.98182,0.99448,0.75279,0.96261,0.40992,1.21177,0.0010892,0.0010892,0.0010892
48,495.159,0.66237,0.39716,0.95596,1,0.9993,0.995,0.75187,1.02553,0.39513,1.23727,0.0010694,0.0010694,0.0010694
49,505.499,0.6546,0.38002,0.96866,0.99884,1,0.995,0.74827,0.95069,0.39374,1.20124,0.0010496,0.0010496,0.0010496
50,516.333,0.62611,0.37524,0.9408,0.98213,0.99927,0.99482,0.7465,0.97906,0.3913,1.21043,0.0010298,0.0010298,0.0010298
51,526.458,0.63994,0.39373,0.94993,0.99352,0.98182,0.98849,0.72982,1.05719,0.45008,1.2499,0.00101,0.00101,0.00101
52,535.9,0.65026,0.38767,0.96213,1,0.98848,0.995,0.7641,0.97625,0.42043,1.21465,0.0009902,0.0009902,0.0009902
53,546.271,0.63969,0.37687,0.96374,0.99989,0.98182,0.98674,0.72685,0.93687,0.41586,1.18414,0.0009704,0.0009704,0.0009704
54,556.497,0.62049,0.36164,0.93826,1,0.97827,0.98987,0.73753,0.9659,0.4124,1.22294,0.0009506,0.0009506,0.0009506
55,566.812,0.6328,0.37731,0.9558,0.99936,0.98182,0.9904,0.75076,0.95441,0.42991,1.205,0.0009308,0.0009308,0.0009308
