epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6421.93,0.50451,0.35401,0.89017,0.96973,0.97462,0.98461,0.85642,0.58638,0.28141,0.94771,0.00643101,0.00643101,0.00643101
43,6579.6,0.49191,0.34037,0.88271,0.95925,0.98457,0.98668,0.86101,0.58874,0.2861,0.94319,0.00628101,0.00628101,0.00628101
44,6732.89,0.49876,0.33879,0.88681,0.96967,0.97987,0.98779,0.86065,0.60155,0.28411,0.94905,0.00612981,0.00612981,0.00612981
45,6889.66,0.49303,0.33741,0.88819,0.96871,0.98529,0.98821,0.86033,0.58522,0.2755,0.9422,0.00597754,0.00597754,0.00597754
46,7041.93,0.49367,0.33882,0.88421,0.96687,0.97579,0.98543,0.8577,0.593,0.2797,0.94684,0.00582435,0.00582435,0.00582435
47,7195.17,0.48399,0.32455,0.88237,0.97175,0.97599,0.98653,0.8578,0.59786,0.27345,0.95244,0.0056704,0.0056704,0.0056704
48,7347.4,0.48566,0.3261,0.88477,0.97009,0.97397,0.98802,0.86481,0.59089,0.27652,0.94495,0.00551584,0.00551584,0.00551584
49,7500.93,0.47966,0.32237,0.88277,0.97088,0.98177,0.98996,0.86743,0.59806,0.27212,0.94949,0.00536081,0.00536081,0.00536081
50,7655.25,0.47361,0.3165,0.87956,0.96603,0.9866,0.98839,0.86782,0.58576,0.26536,0.952,0.00520548,0.00520548,0.00520548
51,7811.98,0.46293,0.30835,0.87973,0.96821,0.98847,0.98864,0.86661,0.58338,0.26362,0.94825,0.00505,0.00505,0.00505
52,7968.55,0.45988,0.29982,0.87684,0.97077,0.9871,0.98647,0.86698,0.58887,0.26278,0.94954,0.00489452,0.00489452,0.00489452
53,8120.29,0.45555,0.30087,0.8762,0.97281,0.98039,0.98274,0.86435,0.58688,0.27787,0.9427,0.00473919,0.00473919,0.00473919
54,8277.43,0.44812,0.29824,0.87445,0.97168,0.98567,0.98313,0.86281,0.58847,0.2617,0.94723,0.00458416,0.00458416,0.00458416
55,8428.88,0.44708,0.29746,0.87545,0.97186,0.98617,0.98735,0.86872,0.58915,0.26258,0.94954,0.0044296,0.0044296,0.0044296
56,8583.35,0.43984,0.28945,0.87174,0.9688,0.98374,0.98591,0.86393,0.59399,0.26251,0.95337,0.00427565,0.00427565,0.00427565
57,8740.32,0.43886,0.29137,0.86899,0.96933,0.97988,0.98307,0.86524,0.58795,0.26422,0.9483,0.00412246,0.00412246,0.00412246
58,8897.48,0.43212,0.28491,0.869,0.97142,0.98759,0.98857,0.86059,0.59282,0.25524,0.95534,0.00397019,0.00397019,0.00397019
59,9049.93,0.42476,0.28467,0.86617,0.96968,0.98458,0.98878,0.86475,0.58955,0.2581,0.95233,0.00381899,0.00381899,0.00381899
60,9208.1,0.42419,0.27606,0.86622,0.97506,0.97696,0.98687,0.86407,0.59401,0.25804,0.95876,0.00366899,0.00366899,0.00366899
61,9365.25,0.41749,0.2719,0.86547,0.97222,0.98612,0.98877,0.86073,0.58999,0.25528,0.95545,0.00352037,0.00352037,0.00352037
62,9522.54,0.41712,0.27626,0.86317,0.97643,0.97905,0.98784,0.86734,0.58873,0.25726,0.95422,0.00337325,0.00337325,0.00337325
63,9675.14,0.41274,0.26772,0.8616,0.9716,0.97979,0.98808,0.86308,0.5903,0.25724,0.95552,0.00322778,0.00322778,0.00322778
64,9837.58,0.40632,0.26644,0.86093,0.97213,0.98593,0.9864,0.86403,0.58943,0.25353,0.95761,0.00308412,0.00308412,0.00308412
65,9988.46,0.40322,0.25991,0.85634,0.97107,0.98425,0.98706,0.86859,0.58609,0.2583,0.95486,0.00294239,0.00294239,0.00294239
66,10136.3,0.39861,0.25906,0.85639,0.97631,0.98209,0.9874,0.8679,0.59434,0.25964,0.95896,0.00280275,0.00280275,0.00280275
67,10283.6,0.39558,0.25505,0.85536,0.97181,0.98303,0.98744,0.86791,0.5883,0.25101,0.95935,0.00266532,0.00266532,0.00266532
68,10430.7,0.38375,0.25148,0.85607,0.96911,0.98526,0.98671,0.86893,0.58694,0.25747,0.96438,0.00253024,0.00253024,0.00253024
69,10584.8,0.3778,0.2422,0.85258,0.96644,0.98907,0.98874,0.86957,0.59159,0.25063,0.96637,0.00239766,0.00239766,0.00239766
70,10736.6,0.38411,0.24741,0.85226,0.97177,0.98429,0.98841,0.86467,0.5913,0.25223,0.96847,0.00226769,0.00226769,0.00226769
71,10883.4,0.37404,0.24513,0.85107,0.9683,0.98482,0.98652,0.86466,0.59347,0.25103,0.96898,0.00214046,0.00214046,0.00214046
72,11031.6,0.37478,0.24427,0.852,0.973,0.98356,0.98755,0.86351,0.59531,0.25186,0.96909,0.00201611,0.00201611,0.00201611
73,11179.1,0.37177,0.23774,0.85083,0.97223,0.98172,0.98663,0.86546,0.58473,0.25245,0.96461,0.00189475,0.00189475,0.00189475
74,11326.9,0.36156,0.23236,0.8451,0.97422,0.98564,0.98921,0.86778,0.58741,0.24563,0.96821,0.00177651,0.00177651,0.00177651
75,11474.3,0.36331,0.23462,0.84658,0.96983,0.9854,0.98857,0.8685,0.58509,0.24689,0.96554,0.00166149,0.00166149,0.00166149
76,11623.1,0.35509,0.22651,0.84302,0.97238,0.98362,0.9882,0.86916,0.582,0.24883,0.96297,0.00154982,0.00154982,0.00154982
77,11770.9,0.35416,0.22453,0.84746,0.97256,0.98219,0.98742,0.86687,0.58972,0.25093,0.96587,0.00144161,0.00144161,0.00144161
78,11918.4,0.35541,0.22835,0.84739,0.97312,0.98357,0.98683,0.86639,0.59016,0.25174,0.9669,0.00133695,0.00133695,0.00133695
79,12065.4,0.35206,0.22698,0.8455,0.97296,0.98194,0.9856,0.86897,0.58519,0.2512,0.96425,0.00123596,0.00123596,0.00123596
80,12212,0.34707,0.21893,0.84582,0.9717,0.98169,0.98689,0.87025,0.58558,0.24908,0.96964,0.00113873,0.00113873,0.00113873
81,12364.9,0.34298,0.21932,0.84503,0.9735,0.98307,0.98756,0.8702,0.58742,0.24625,0.9701,0.00104537,0.00104537,0.00104537
82,12512.3,0.33849,0.21828,0.8404,0.97111,0.98608,0.98748,0.86974,0.58441,0.24667,0.96745,0.000955951,0.000955951,0.000955951
83,12659.9,0.34062,0.21605,0.84242,0.97219,0.98307,0.98562,0.86688,0.58895,0.24763,0.97322,0.000870577,0.000870577,0.000870577
84,12806.7,0.33769,0.21589,0.84094,0.9732,0.9828,0.98533,0.87094,0.5878,0.24991,0.97135,0.000789327,0.000789327,0.000789327
85,12956.1,0.33198,0.21214,0.84092,0.97363,0.98247,0.98643,0.86824,0.58757,0.25077,0.97335,0.000712282,0.000712282,0.000712282
86,13103.3,0.32874,0.20911,0.84075,0.97314,0.98289,0.98618,0.8719,0.58506,0.24939,0.9716,0.000639518,0.000639518,0.000639518
87,13255.1,0.3264,0.20942,0.83889,0.97259,0.98172,0.9851,0.86893,0.58906,0.25035,0.97343,0.000571106,0.000571106,0.000571106
88,13403.1,0.32448,0.2093,0.83994,0.97245,0.98255,0.98565,0.86769,0.5882,0.2472,0.9745,0.000507115,0.000507115,0.000507115
89,13550.1,0.32965,0.20785,0.83717,0.97306,0.9847,0.9863,0.86922,0.58815,0.24793,0.97493,0.000447606,0.000447606,0.000447606
90,13697.2,0.32834,0.21117,0.83971,0.97201,0.98387,0.98629,0.86906,0.58798,0.24938,0.97863,0.00039264,0.00039264,0.00039264
91,13845.3,0.27673,0.1609,0.81144,0.97075,0.98448,0.98544,0.8647,0.58776,0.25442,0.98066,0.00034227,0.00034227,0.00034227
92,13992.3,0.27353,0.15781,0.81059,0.97114,0.98387,0.98561,0.86406,0.58924,0.25182,0.98065,0.000296546,0.000296546,0.000296546
93,14139.2,0.26823,0.15612,0.81226,0.97159,0.98199,0.98595,0.86863,0.58981,0.25225,0.97914,0.000255513,0.000255513,0.000255513
94,14286.2,0.26702,0.1549,0.80844,0.97351,0.98363,0.98596,0.8674,0.59123,0.25337,0.98028,0.000219212,0.000219212,0.000219212
95,14433.3,0.26537,0.15513,0.80784,0.97357,0.9838,0.98583,0.8684,0.59017,0.25306,0.97991,0.000187678,0.000187678,0.000187678
96,14578.7,0.26069,0.15182,0.80658,0.97346,0.98383,0.98596,0.86774,0.5899,0.25327,0.9806,0.000160943,0.000160943,0.000160943
97,14726,0.26235,0.15147,0.80762,0.97362,0.98387,0.98614,0.86753,0.5902,0.25365,0.98097,0.000139032,0.000139032,0.000139032
98,14873.4,0.26256,0.15043,0.80922,0.97305,0.98351,0.98611,0.86831,0.58992,0.25337,0.9808,0.000121968,0.000121968,0.000121968
99,15020.1,0.26161,0.1507,0.80771,0.97312,0.98359,0.98624,0.86849,0.59038,0.25263,0.9805,0.000109768,0.000109768,0.000109768
100,15167.5,0.26211,0.1507,0.80866,0.97295,0.98347,0.98628,0.86818,0.58954,0.2532,0.98016,0.000102443,0.000102443,0.000102443
